Company,Name,YearOfManufacture,Status,Body,DistanceUsed,Doors,Seats,FuelType,FuelAmount,GearBox,Drivetrain,FuelConsumption,Price
Mazda, Mazda 323 1.6 MT - 2000,2000,used,Sedan,15000,4,5,Xăng,1.6,Số tay,FWD - Dẫn động cầu trước,6,50000000
Hyundai, Hyundai Starex Van 2.5 MT - 2004,2004,used,Van,30000,4,6,Dầu,2.5,Số tay,RFD - Dẫn động cầu sau,6,85000000
Daewoo, Daewoo Matiz - 2004,2004,used,Hatchback,20,4,5,Xăng,null,Số tay,FWD - Dẫn động cầu trước,5,39000000
Ford, Ford Ranger Wildtrak 2.0L 4x4 AT - 2023,2023,new,Bán tải ,0,4,5,Dầu,2.0,Số tự động,4WD - Dẫn động 4 bánh,7,879000000
Ford, Ford Ranger Wildtrak 2.0L 4x4 AT - 2023,2023,new,Bán tải ,0,4,5,Dầu,2.0,Số tự động,4WD - Dẫn động 4 bánh,7,879000000
Ford, Ford Explorer Limited 2.3L EcoBoost - 2022,2022,new,SUV,0,5,7,Xăng,2.3,Số tự động,AWD - 4 bánh toàn thời gian,10,2199000000
Ford, Ford Territory Titanium 1.5 AT - 2023,2023,new,SUV,0,5,5,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,7,829000000
Ford, Ford EcoSport Titanium 1.5L AT - 2017,2017,used,SUV,70000,5,5,Xăng,null,Số tự động,FWD - Dẫn động cầu trước,6,417000000
Mercedes, Mercedes Benz GLC 300 4Matic - 2022,2022,used,SUV,20,5,5,Xăng,2.0,Số tự động,AWD - 4 bánh toàn thời gian,null,2379000000
Ford, Ford Explorer Limited 2.3L EcoBoost - 2022,2022,new,SUV,0,5,7,Xăng,2.3,Số tự động,AWD - 4 bánh toàn thời gian,11,2199000000
Ford, Ford Ranger XLS 2.0L 4x2 AT - 2023,2023,new,Bán tải ,0,4,5,Dầu,2.2,Số tự động,RFD - Dẫn động cầu sau,7,640000000
Ford, Ford Ranger XLS 2.0L 4x2 AT - 2023,2023,new,Bán tải ,0,4,5,Dầu,2.2,Số tự động,RFD - Dẫn động cầu sau,7,640000000
Toyota, Toyota Vios 1.5G - 2018,2018,used,Sedan,42000,4,5,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,null,440000000
Kia, Kia Sedona 2.2L DATH - 2017,2017,used,Van,90000,5,7,Dầu,2.2,Số tự động,FWD - Dẫn động cầu trước,null,725000000
Toyota, Toyota Corolla altis 1.8G AT - 2016,2016,used,Sedan,8,4,5,Xăng,1.8,Số tự động,FWD - Dẫn động cầu trước,null,525000000
Hyundai, Hyundai Stargazer Tiêu chuẩn 1.5 AT - 2023,2023,new,Van,0,5,7,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,6,498000000
Hyundai, Hyundai SantaFe Cao cấp 2.2L HTRAC - 2023,2023,new,SUV,0,5,7,Dầu,2.2,Số tự động,AWD - 4 bánh toàn thời gian,7,1275000000
Hyundai, Hyundai i10 1.2 AT - 2023,2023,new,Hatchback,0,5,5,Xăng,1.25,Số tự động,FWD - Dẫn động cầu trước,6,405000000
Hyundai, Hyundai Creta Tiêu chuẩn 1.5 AT - 2023,2023,new,Crossover,0,5,5,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,7,595000000
Hyundai, Hyundai Accent 1.4 AT Đặc Biệt - 2023,2023,new,Sedan,0,4,5,Xăng,1.4,Số tự động,FWD - Dẫn động cầu trước,7,505000000
Hyundai, Hyundai Tucson 1.6 AT Turbo HTRAC Đặc biệt - 2023,2023,new,Crossover,0,5,5,Xăng,1.6,Số tự động,AWD - 4 bánh toàn thời gian,9,1020000000
LandRover, LandRover Range Rover HSE 3.0 - 2015,2015,used,SUV,40000,5,5,Xăng,3.0,Số tự động,AWD - 4 bánh toàn thời gian,null,3850000000
Mercedes, Mercedes Benz GLC 200 - 2022,2022,used,SUV,30,5,5,Xăng,2.0,Số tự động,RFD - Dẫn động cầu sau,null,1739000000
Peugeot, Peugeot 3008 AT - 2021,2021,used,Crossover,27000,5,5,Xăng,1.6,Số tự động,FWD - Dẫn động cầu trước,null,870000000
Kia, Kia Cerato 1.6 AT Luxury - 2020,2020,used,Sedan,34000,4,5,Xăng,1.6,Số tự động,FWD - Dẫn động cầu trước,null,540000000
Peugeot, Peugeot 3008 GT - 2022,2022,used,Crossover,17000,5,5,Xăng,1.6,Số tự động,FWD - Dẫn động cầu trước,null,1030000000
Mazda, Mazda CX 30 Premium 2.0 AT - 2022,2022,used,Crossover,6900,5,5,Xăng,2.0,Số tự động,FWD - Dẫn động cầu trước,null,770000000
Peugeot, Peugeot 3008 GT - 2022,2022,used,Crossover,10000,5,5,Xăng,1.6,Số tự động,FWD - Dẫn động cầu trước,null,1050000000
Toyota, Toyota Fortuner 2.7V 4x2 AT - 2017,2017,used,SUV,62000,5,8,Xăng,2.7,Số tự động,RFD - Dẫn động cầu sau,null,720000000
Mercedes, Mercedes Benz GLC 300 4Matic - 2021,2021,used,SUV,1700,5,5,Xăng,2.0,Số tự động,AWD - 4 bánh toàn thời gian,null,1999000000
Mercedes, Mercedes Benz GLC 300 4Matic - 2020,2020,used,SUV,32000,5,5,Xăng,2.0,Số tự động,AWD - 4 bánh toàn thời gian,null,1819000000
Mercedes, Mercedes Benz GLC 200 - 2022,2022,used,SUV,8000,5,5,Xăng,2.0,Số tự động,RFD - Dẫn động cầu sau,null,1699000000
Mercedes, Mercedes Benz GLC 300 4Matic - 2021,2021,used,SUV,26000,5,5,Xăng,2.0,Số tự động,AWD - 4 bánh toàn thời gian,null,1979000000
Mercedes, Mercedes Benz GLC 200 - 2022,2022,used,SUV,9000,5,5,Xăng,2.0,Số tự động,RFD - Dẫn động cầu sau,null,1699000000
Mercedes, Mercedes Benz GLC 200 - 2021,2021,used,SUV,29000,5,5,Xăng,2.0,Số tự động,RFD - Dẫn động cầu sau,null,1459000000
Mercedes, Mercedes Benz GLC 200 - 2022,2022,used,SUV,8000,5,5,Xăng,2.0,Số tự động,RFD - Dẫn động cầu sau,null,1699000000
Mercedes, Mercedes Benz C class C180 AMG - 2021,2021,used,Sedan,14000,4,5,Xăng,1.5,Số tự động,RFD - Dẫn động cầu sau,null,1139000000
Mercedes, Mercedes Benz GLS 450 4Matic - 2021,2021,used,SUV,20000,5,7,Xăng,3.0,Số tự động,AWD - 4 bánh toàn thời gian,null,4579000000
Ford," Ford Ranger Wildtrak, 2.2 - 2017",2017,used,Bán tải ,40000,4,5,Dầu,null,-,FWD - Dẫn động cầu trước,8,580000000
Lexus, Lexus LX 570 - 2017,2017,used,SUV,65000,5,7,Xăng,5.7,Số tự động,AWD - 4 bánh toàn thời gian,null,5799000000
Lexus, Lexus LX 570 - 2017,2017,used,SUV,65000,5,7,Xăng,5.7,Số tự động,AWD - 4 bánh toàn thời gian,null,5799000000
LandRover, LandRover Range Rover Autobiography LWB 5.0 - 2015,2015,used,SUV,30000,5,4,Xăng,5.0,Số tự động,AWD - 4 bánh toàn thời gian,null,4950000000
Lexus, Lexus ES 250 - 2021,2021,used,Sedan,0,4,5,Xăng,2.5,Số tự động,FWD - Dẫn động cầu trước,null,2290000000
Volvo, Volvo S90 Inscription LWB B6 AWD - 2022,2022,used,Sedan,0,4,5,Xăng,2.0,Số tự động,AWD - 4 bánh toàn thời gian,null,2190000000
Mitsubishi, Mitsubishi Outlander Premium 2.0 CVT - 2023,2023,new,SUV,0,5,7,Xăng,2.0,Số tự động,FWD - Dẫn động cầu trước,8,820000000
Toyota, Toyota Innova 2.0E - 2020,2020,used,Crossover,32000,5,8,Xăng,2.0,Số tay,RFD - Dẫn động cầu sau,8,575000000
Honda, Honda Civic RS 1.5 AT - 2021,2021,used,Sedan,31000,4,5,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,6,800000000
Hyundai, Hyundai Tucson 2.0 AT CRDi - 2020,2020,used,Crossover,22000,5,5,Dầu,2.0,Số tự động,FWD - Dẫn động cầu trước,5,785000000
Mazda, Mazda CX5 Deluxe - 2023,2023,new,SUV,0,5,5,Xăng,2.0,Số tự động,FWD - Dẫn động cầu trước,6,739000000
Mercedes, Mercedes Benz E class E300 - 2009,2009,used,Sedan,0,4,5,Xăng,3.0,Số tự động,RFD - Dẫn động cầu sau,null,455000000
Ford, Ford Ranger XLS 2.0L 4x2 AT - 2023,2023,new,Bán tải ,0,4,5,Dầu,2.2,Số tự động,RFD - Dẫn động cầu sau,7,658000000
Mercedes, Mercedes Benz S class S350 - 2005,2005,used,Sedan,10000,4,5,Xăng,3.5,Số tự động,RFD - Dẫn động cầu sau,10,370000000
Ford, Ford Explorer Platinum 3.0L EcoBoost - 2022,2022,new,SUV,0,5,7,Xăng,3.0,Số tự động,AWD - 4 bánh toàn thời gian,null,4500000000
Kia, Kia Morning SLX 1.0 AT - 2009,2009,used,Hatchback,6789,5,5,Xăng,1.0,Số tự động,FWD - Dẫn động cầu trước,5,209000000
Hyundai, Hyundai i10 1.0AT - 2017,2017,used,Hatchback,75000,5,5,Xăng,null,Số tự động,FWD - Dẫn động cầu trước,6,315000000
Lexus, Lexus GS 300 - 2006,2006,used,Sedan,94000,4,5,Xăng,3.0,Số tự động,RFD - Dẫn động cầu sau,8,480000000
Mercedes, Mercedes Benz GLC 300 4Matic - 2022,2022,used,SUV,9000,5,5,Xăng,2.0,Số tự động,AWD - 4 bánh toàn thời gian,10,2319000000
Kia, Kia Morning - 2008,2008,used,Hatchback,15,5,5,Xăng,null,Số tự động,FWD - Dẫn động cầu trước,6,160000000
Honda, Honda City 1.5 - 2019,2019,used,Sedan,61000,4,5,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,null,440000000
Toyota, Toyota Corolla Cross 1.8V - 2021,2021,used,SUV,9000,5,5,Xăng,1.8,Số tự động,FWD - Dẫn động cầu trước,5,780000000
Ford, Ford Explorer Limited 2.3L EcoBoost - 2021,2021,used,SUV,15000,5,7,Xăng,2.3,Số tự động,AWD - 4 bánh toàn thời gian,5,2086000000
Kia, Kia Carens EX 2.0 MT - 2010,2010,used,Crossover,50000,5,7,Xăng,2.0,Số tay,FWD - Dẫn động cầu trước,5,215000000
Hyundai, Hyundai Tucson 2.0 AT CRDi - 2020,2020,used,Crossover,29000,5,5,Dầu,2.0,Số tự động,FWD - Dẫn động cầu trước,5,828000000
Mitsubishi, Mitsubishi Outlander 2.0 CVT Premium - 2019,2019,used,SUV,38000,5,7,Xăng,2.0,Số tự động,FWD - Dẫn động cầu trước,5,730000000
Kia, Kia Sportage Signature 2.0D - 2022,2022,used,Crossover,5000,5,5,Dầu,2.0,Số tự động,FWD - Dẫn động cầu trước,5,1040000000
Mercedes, Mercedes Benz E class E240 - 2004,2004,used,Sedan,170,4,5,Xăng,null,Số tự động,RFD - Dẫn động cầu sau,10,235000000
Daewoo, Daewoo Lacetti MT - 2010,2010,used,Sedan,90000,4,5,Xăng,null,Số tay,FWD - Dẫn động cầu trước,7,185000000
Ford, Ford Everest Titanium 2.0L 4x2 AT - 2023,2023,new,SUV,0,5,7,Dầu,2.0,Số tự động,RFD - Dẫn động cầu sau,null,1229000000
Ford, Ford Everest Titanium Plus 2.0L 4x4 AT - 2023,2023,new,SUV,0,5,7,Dầu,2.0,Số tự động,4WD - Dẫn động 4 bánh,null,1398000000
Ford, Ford Everest Titanium 2.0L 4x2 AT - 2023,2023,new,SUV,0,5,7,Dầu,2.0,Số tự động,RFD - Dẫn động cầu sau,null,1229000000
Mercedes, Mercedes Benz GL - 550 -AMG-4Matic - 2010,2010,used,SUV,12500,5,7,Xăng,null,Số tự động,4WD - Dẫn động 4 bánh,null,879000000
Mercedes, Mercedes Benz C class C300 AMG - 2016,2016,used,Sedan,66000,4,5,Xăng,null,Số tự động,FWD - Dẫn động cầu trước,8,895000000
Hyundai, Hyundai Elantra 2.0 AT - 2019,2019,used,Sedan,37913,4,5,Xăng,2.0,Số tự động,FWD - Dẫn động cầu trước,null,560000000
Mercedes, Mercedes Benz GLE Class GLE 53 4Matic+ Coupe AMG - 2022,2022,new,SUV,0,5,5,Xăng,3.0,Số tự động,AWD - 4 bánh toàn thời gian,9,5499000000
Hyundai, Hyundai Accent 1.4MT đủ - 2020,2020,used,Sedan,46000,4,5,Xăng,null,Số tay,FWD - Dẫn động cầu trước,6,390000000
Hyundai, Hyundai Mighty 110SP thùng bạt - 2022,2022,new,Truck,0,2,3,Dầu,3.9,Số tay,RFD - Dẫn động cầu sau,12,700000000
Hyundai, Hyundai Mighty N250SL - 2022,2022,new,Truck,0,2,3,Dầu,2.5,Số tay,RFD - Dẫn động cầu sau,10,510000000
Hyundai, Hyundai Xcent - 2021,2021,new,Truck,0,2,2,Dầu,12.7,Số tay,4WD - Dẫn động 4 bánh,42,1600000000
Toyota, Toyota Camry - 2020,2020,used,Sedan,12700,0,0,-,null,-,-,null,845000000
Toyota, Toyota Rush 1.5S AT - 2020,2020,used,SUV,68000,5,7,Xăng,1.5,Số tự động,RFD - Dẫn động cầu sau,null,560000000
Toyota, Toyota Camry - 2020,2020,used,Sedan,12700,0,0,-,null,-,-,null,845000000
Toyota, Toyota Rush 1.5S AT - 2020,2020,used,SUV,68000,5,7,Xăng,1.5,Số tự động,RFD - Dẫn động cầu sau,null,560000000
Hyundai, Hyundai Accent 1.4 AT - 2023,2023,new,Sedan,0,4,5,Xăng,1.4,Số tự động,FWD - Dẫn động cầu trước,05,455000000
Hyundai, Hyundai Accent 1.4 MT - 2023,2023,new,Sedan,0,4,5,Xăng,1.4,Số tay,FWD - Dẫn động cầu trước,05,434000000
Hyundai, Hyundai Creta Đặc biệt 1.5 AT - 2023,2023,new,Crossover,0,5,5,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,7,655000000
Hyundai, Hyundai Accent 1.4 AT Đặc Biệt - 2023,2023,new,Sedan,0,4,5,Xăng,1.4,Số tự động,FWD - Dẫn động cầu trước,06,485000000
Hyundai, Hyundai Tucson 2.0 AT Tiêu chuẩn - 2023,2023,new,Crossover,0,5,5,Xăng,2.0,Số tự động,FWD - Dẫn động cầu trước,06,805000000
Honda, Honda CRV 1.5 LSE - 2022,2022,used,Crossover,19000,4,7,Xăng,null,Số tự động,FWD - Dẫn động cầu trước,null,995000000
Honda, Honda City RS 1.5 AT - 2023,2023,new,Sedan,0,4,5,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,null,604000000
Hyundai, Hyundai Accent 1.4 AT - 2020,2020,used,Sedan,19000,4,5,Xăng,1.4,Số tự động,FWD - Dẫn động cầu trước,null,445000000
VinFast, VinFast Lux SA 2.0 2.0 AT - 2021,2021,used,SUV,26000,5,7,Xăng,2.0,Số tự động,RFD - Dẫn động cầu sau,null,775000000
VinFast, VinFast Lux SA 2.0 Tiêu chuẩn - 2022,2022,used,SUV,22000,5,7,Xăng,2.0,Số tự động,RFD - Dẫn động cầu sau,null,830000000
VinFast, VinFast Lux SA 2.0 2.0 AT - 2021,2021,used,SUV,33000,5,7,Xăng,2.0,Số tự động,RFD - Dẫn động cầu sau,null,775000000
VinFast, VinFast VF8 Plus - 2022,2022,used,SUV,13000,5,5,Điện,0.2,Số tự động,AWD - 4 bánh toàn thời gian,null,895000000
Lexus, Lexus LX 570 - 2010,2010,used,SUV,80000,5,7,Xăng,5.7,Số tự động,AWD - 4 bánh toàn thời gian,null,1955000000
Hyundai, Hyundai SantaFe MLX 2.0L - 2009,2009,used,SUV,150000,5,7,Dầu,2.0,Số tự động,FWD - Dẫn động cầu trước,null,450000000
Mercedes, Mercedes Benz GLB 200 AMG - 2021,2021,used,SUV,18000,5,7,Xăng,1.3,Số tự động,RFD - Dẫn động cầu sau,null,1789000000
Mazda, Mazda CX5 2.5 AT 2WD - 2019,2019,used,SUV,32000,5,5,Xăng,2.5,Số tự động,FWD - Dẫn động cầu trước,null,765000000
VinFast, VinFast Fadil base - 2021,2021,used,Hatchback,19999,5,5,Xăng,null,Số tay,FWD - Dẫn động cầu trước,5,323000000
VinFast, VinFast Lux A 2.0 Premium 2.0 AT - 2021,2021,used,Sedan,20000,4,5,Xăng,2.0,Số tự động,RFD - Dẫn động cầu sau,null,710000000
Ford, Ford Fiesta S 1.0AT Ecoboost - 2016,2016,used,Hatchback,58197,5,5,Xăng,1.0,Số tự động,FWD - Dẫn động cầu trước,null,361000000
Toyota, Toyota Prado TXL 2.7L - 2016,2016,used,SUV,85000,5,7,Xăng,2.7,Số tự động,4WD - Dẫn động 4 bánh,null,1485000000
Mitsubishi, Mitsubishi Xpander 1.5 AT - 2020,2020,used,SUV,49000,5,7,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,null,555000000
VinFast, VinFast VF8 Eco - 2023,2023,new,SUV,0,5,5,Điện,0.2,Số tự động,AWD - 4 bánh toàn thời gian,null,777000000
Toyota, Toyota Wigo 1.2 AT - 2021,2021,used,Hatchback,19000,5,5,Xăng,1.2,Số tự động,FWD - Dẫn động cầu trước,null,376000000
VinFast, VinFast Fadil 1.4 AT Premium - 2020,2020,used,Hatchback,20000,5,5,Xăng,1.4,Số tự động,FWD - Dẫn động cầu trước,null,350000000
Mazda, Mazda 3 - 2018,2018,used,Sedan,69696,5,0,Xăng,null,Số tay,FWD - Dẫn động cầu trước,5,469000000
Kia, Kia Sorento 2.4 GAT Deluxe - 2020,2020,used,SUV,17000,5,7,Xăng,2.4,Số tự động,FWD - Dẫn động cầu trước,null,699000000
Lexus, Lexus LX 570 - 2009,2009,used,SUV,80000,5,7,Xăng,null,Số tự động,AWD - 4 bánh toàn thời gian,8,1850000000
Ford, Ford Everest Sport 2.0L 4x2 AT - 2023,2023,new,SUV,0,5,7,Dầu,2.0,Số tự động,RFD - Dẫn động cầu sau,8,1120000000
Mitsubishi, Mitsubishi Attrage 1.2 MT - 2022,2022,used,Sedan,3000,4,5,Xăng,1.2,Số tay,FWD - Dẫn động cầu trước,4,358000000
Ford, Ford Territory Titanium 1.5 AT - 2023,2023,new,SUV,0,5,5,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,8,839000000
Ford, Ford Ranger XLS 2.0L 4x2 AT - 2023,2023,new,Bán tải ,0,4,5,Dầu,2.2,Số tự động,RFD - Dẫn động cầu sau,8,677000000
Toyota, Toyota Yaris 1.3 AT - 2010,2010,used,Hatchback,8000,5,5,Xăng,1.3,Số tự động,FWD - Dẫn động cầu trước,4,278000000
Hyundai, Hyundai Getz 1.1 MT - 2010,2010,used,Hatchback,12000,5,5,Xăng,1.1,Số tay,FWD - Dẫn động cầu trước,4,156000000
Mitsubishi, Mitsubishi Attrage 1.2 MT - 2020,2020,used,Sedan,6000,4,5,Xăng,1.2,Số tay,FWD - Dẫn động cầu trước,4,295000000
Mercedes, Mercedes Benz GLC 300 4Matic - 2020,2020,used,SUV,18000,5,5,Xăng,2.0,Số tự động,AWD - 4 bánh toàn thời gian,null,1818000000
Mitsubishi, Mitsubishi Attrage 1.2MT - 2017,2017,used,Sedan,8000,4,5,Xăng,1.2,Số tay,FWD - Dẫn động cầu trước,4,265000000
Ford, Ford Focus 1.8 AT - 2010,2010,used,Hatchback,10000,5,5,Xăng,1.8,Số tự động,FWD - Dẫn động cầu trước,7,225000000
Toyota, Toyota Corolla Cross 1.8HV - 2021,2021,used,SUV,32000,5,5,Hybrid,1.8,Số tự động,FWD - Dẫn động cầu trước,null,870000000
VinFast, VinFast VF9 Eco - 2023,2023,new,SUV,0,5,7,Điện,0.2,Số tự động,AWD - 4 bánh toàn thời gian,null,1193000000
Hyundai, Hyundai Elantra 2.0 AT - 2019,2019,used,Sedan,40000,4,5,Xăng,2.0,Số tự động,FWD - Dẫn động cầu trước,null,530000000
Honda, Honda Accord 1.5 AT - 2023,2023,new,Sedan,0,4,5,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,null,1299000000
Mercedes, Mercedes Benz GLC 200 - 2022,2022,used,SUV,14000,5,5,Xăng,2.0,Số tự động,RFD - Dẫn động cầu sau,null,1568000000
Peugeot, Peugeot 2008 GT Line 1.2 AT - 2023,2023,new,Crossover,0,5,5,Xăng,1.2,Số tự động,FWD - Dẫn động cầu trước,4,823000000
Mercedes, Mercedes Benz GLE Class GLE 53 4Matic+ Coupe AMG - 2022,2022,new,SUV,0,5,5,Xăng,3.0,Số tự động,AWD - 4 bánh toàn thời gian,null,5499000000
Honda, Honda CRV L - 2019,2019,used,SUV,55000,5,7,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,null,830000000
Kia, Kia Morning VAN 1.0 AT - 2011,2011,used,Van,120000,5,2,Xăng,1.0,Số tự động,FWD - Dẫn động cầu trước,6,168000000
Toyota, Toyota Corolla altis 1.8G - 2023,2023,new,Sedan,0,4,5,Xăng,1.8,Số tự động,FWD - Dẫn động cầu trước,null,689000000
Ford, Ford Fiesta - 2011,2011,used,Sedan,10000,4,5,Xăng,null,Số tự động,FWD - Dẫn động cầu trước,7,238000000
Mitsubishi, Mitsubishi Xpander Cross 1.5 AT - 2023,2023,new,SUV,0,5,7,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,null,698000000
Toyota, Toyota Yaris 1.3 - 2008,2008,used,Hatchback,80000,5,5,Xăng,null,Số tự động,FWD - Dẫn động cầu trước,5,275000000
Ford, Ford Ranger Wildtrak 2.0L 4x4 AT - 2023,2023,new,Bán tải ,0,4,5,Dầu,2.0,Số tự động,4WD - Dẫn động 4 bánh,7,996000000
Ford, Ford Transit Tiêu chuẩn - 2023,2023,new,Van,0,4,16,Dầu,2.2,Số tay,RFD - Dẫn động cầu sau,null,820000000
Ford, Ford Ranger XLS 2.0L 4x2 AT - 2023,2023,new,Bán tải ,0,4,5,Dầu,2.2,Số tự động,RFD - Dẫn động cầu sau,7,740000000
Ford, Ford Territory Titanium X 1.5 AT - 2023,2023,new,SUV,0,5,5,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,7,890000000
Ford, Ford Territory Trend 1.5 AT - 2023,2023,new,SUV,0,5,5,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,null,790000000
Ford, Ford Transit Tiêu chuẩn - 2023,2023,new,Van,0,4,16,Dầu,2.2,Số tay,RFD - Dẫn động cầu sau,null,830000000
Ford, Ford Everest Titanium 2.0L 4x2 AT - 2023,2023,new,SUV,0,5,7,Dầu,2.0,Số tự động,RFD - Dẫn động cầu sau,null,1250000000
Ford, Ford Ranger Wildtrak 2.0L 4x4 AT - 2023,2023,new,Bán tải ,0,4,5,Dầu,2.0,Số tự động,4WD - Dẫn động 4 bánh,null,930000000
Toyota, Toyota Camry 2.5Q - 2021,2021,used,Sedan,29000,4,5,Xăng,2.5,Số tự động,FWD - Dẫn động cầu trước,null,1100000000
Mercedes, Mercedes Benz GLC 200 4Matic - 2023,2023,new,SUV,0,5,5,Xăng,2.0,Số tự động,AWD - 4 bánh toàn thời gian,null,1907000000
Mercedes, Mercedes Benz C class C300 AMG - 2023,2023,new,Sedan,0,4,5,Xăng,2.0,Số tự động,RFD - Dẫn động cầu sau,null,1959000000
Ford, Ford Mustang 2.3 EcoBoost Premium Fastback - 2021,2021,new,Coupe,0,2,4,Xăng,2.3,Số tự động,RFD - Dẫn động cầu sau,null,3150000000
Kia, Kia Cerato Lx - 2010,2010,used,Sedan,130000,5,5,Xăng,null,Số tay,FWD - Dẫn động cầu trước,6,238000000
Peugeot, Peugeot 3008 AL - 2022,2022,used,Crossover,3000,5,5,Xăng,1.6,Số tự động,FWD - Dẫn động cầu trước,null,995000000
Hyundai, Hyundai Stargazer Cao cấp 1.5 AT - 2023,2023,new,Van,0,5,7,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,5,600000000
Hyundai, Hyundai Tucson 1.6 AT Turbo HTRAC Đặc biệt - 2023,2023,new,Crossover,0,5,5,Xăng,1.6,Số tự động,AWD - 4 bánh toàn thời gian,5,1020000000
Hyundai, Hyundai Creta Tiêu chuẩn 1.5 AT - 2023,2023,new,Crossover,0,5,5,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,5,610000000
Hyundai, Hyundai Stargazer Đặc biệt 1.5 AT - 2023,2023,new,Van,0,5,7,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,5,560000000
Hyundai, Hyundai Creta Tiêu chuẩn 1.5 AT - 2023,2023,new,Crossover,0,5,5,Xăng,1.5,Số tự động,FWD - Dẫn động cầu trước,6,610000000
